Ranking_Difference,Attempts_on_Target,Corner_Kicks,Crosses,Ball_Possession_Percent,Completed_Passes,Completed_Line_Breaks,Defensive_Pressures,Forced_Turnovers,Second_Balls,Saves,Save_Percentage,Distance_Covered_km,Zone4_Low_Speed_Sprinting
-26.0,0.0,1.0,2.0,20.5,338.0,23.0,274.0,23.0,34.0,5.0,45.45454545454545,90.8,3.7
11.0,4.0,0.0,5.0,40.8,360.0,76.0,265.0,46.0,69.0,2.0,100.0,116.5,5.3
-11.0,2.0,2.0,8.0,51.8,466.0,75.0,217.0,48.0,62.0,3.0,75.0,112.1,5.3
77.0,4.0,4.0,11.0,49.0,484.0,105.0,195.0,39.0,50.0,3.0,100.0,113.6,5.9
-77.0,3.0,4.0,13.0,43.2,338.0,84.0,294.0,34.0,63.0,1.0,25.0,112.8,6.1
-35.0,0.0,2.0,13.0,39.1,403.0,87.0,304.0,39.0,49.0,1.0,50.0,117.8,5.9
35.0,2.0,5.0,13.0,54.8,612.0,83.0,260.0,40.0,61.0,0.0,0.0,115.4,6.4
19.0,5.0,12.0,45.0,67.7,594.0,153.0,101.0,41.0,92.0,1.0,50.0,123.3,5.4
-19.0,2.0,0.0,9.0,19.2,92.0,45.0,367.0,50.0,61.0,5.0,100.0,117.0,6.3
10.0,2.0,7.0,15.0,56.0,490.0,95.0,167.0,39.0,65.0,2.0,100.0,111.1,5.5
-10.0,2.0,4.0,20.0,30.3,351.0,71.0,262.0,40.0,70.0,0.0,0.0,112.8,6.2
24.0,7.0,8.0,20.0,49.5,568.0,133.0,293.0,47.0,69.0,1.0,50.0,125.8,7.6
-24.0,2.0,3.0,12.0,41.2,440.0,92.0,316.0,43.0,60.0,5.0,71.42857142857143,113.1,5.3
59.0,15.0,9.0,33.0,65.8,601.0,125.0,155.0,43.0,92.0,3.0,100.0,103.7,5.4
-59.0,3.0,0.0,1.0,23.4,167.0,59.0,345.0,35.0,60.0,15.0,100.0,106.1,5.2
30.0,7.0,2.0,19.0,48.2,398.0,96.0,232.0,47.0,54.0,7.0,87.5,108.4,5.5
-30.0,8.0,5.0,23.0,43.3,377.0,100.0,228.0,37.0,53.0,2.0,28.57142857142857,110.1,5.7
-27.0,0.0,3.0,9.0,36.4,398.0,58.0,233.0,34.0,45.0,0.0,0.0,112.4,5.5
27.0,4.0,5.0,12.0,55.1,524.0,85.0,219.0,35.0,52.0,0.0,0.0,112.2,5.3
