Ranking_Difference,Attempts_on_Target_per90,Corner_Kicks_per90,Crosses_per90,Ball_Possession_%,Completed_Passes_per90,Completed_Line_Breaks_per90,Defensive_Pressures_per90,Forced_Turnovers_per90,Second_Balls_per90,Saves_per90,Save_percentage,Distance_per_90_recalculated,Zone4_per90
1.2592499256134033,0.42569687962532043,0.00413596723228693,0.27792200446128845,0.3633316159248352,0.11584453284740448,-0.1426953226327896,0.27231520414352417,0.24494466185569763,0.5424612760543823,-0.19740134477615356,1.1041295528411865,-0.11009665578603745,-0.019764583557844162
-1.4468194246292114,-1.272072434425354,-0.021161949262022972,0.10920451581478119,-0.08325763046741486,-0.004864574410021305,0.19211290776729584,-0.3794627785682678,0.2112155258655548,0.0338103249669075,-0.10722494125366211,-0.7860743999481201,-0.29440242052078247,-0.5524815320968628
0.6491692066192627,0.7878932952880859,0.15719649195671082,0.2200494110584259,0.2954234182834625,-0.09640014916658401,-0.12950783967971802,0.31451165676116943,0.3847241699695587,0.11240580677986145,-0.11163625866174698,-0.21290646493434906,-0.11666586250066757,-0.048441529273986816
-1.0711456537246704,-0.0636240541934967,0.11930220574140549,0.34233033657073975,-0.2762696444988251,-0.2175534963607788,0.4024032652378082,-0.6921790838241577,-0.423563688993454,-0.4197392463684082,-0.18101561069488525,-0.38766640424728394,0.7053011655807495,-0.04274067282676697
0.7683264017105103,0.16424144804477692,-0.3014916479587555,-0.4439563453197479,0.6614519953727722,0.0014237575232982635,-0.12843585014343262,-0.04158637300133705,0.567101001739502,-0.4784364700317383,-0.13224488496780396,-0.48202040791511536,0.02411702647805214,0.10606728494167328
-1.2317265272140503,-0.9440356492996216,0.10808880627155304,0.28604915738105774,-0.5099252462387085,-0.01439042016863823,0.14994922280311584,0.10210976004600525,0.6922792792320251,-0.5193957090377808,-0.07766475528478622,0.14166642725467682,-0.008027374744415283,-0.31284451484680176
0.6555950045585632,1.618895173072815,0.003544475184753537,-0.2749723196029663,0.03887500241398811,0.06553817540407181,0.07418060302734375,0.1485625058412552,0.06243906542658806,-1.2057331800460815,0.5106784701347351,-0.353832483291626,0.27296605706214905,0.602340579032898
-1.2494120597839355,-1.1287386417388916,-0.021161949262022972,0.10541471838951111,-0.08365499973297119,-0.04389963299036026,0.17575587332248688,-0.3786424994468689,0.14098624885082245,0.05765370652079582,-0.11269700527191162,-0.8842138648033142,-0.3452695608139038,0.7211251854896545
-1.114281177520752,-1.1084723472595215,0.14652720093727112,-0.3182123899459839,0.8188666105270386,-0.05380937084555626,-0.14222785830497742,0.09112364053726196,-0.11549723893404007,0.08969706296920776,0.145786851644516,-0.722783625125885,0.0245517548173666,0.2722318172454834
1.3462729454040527,-0.7517477869987488,0.18019241094589233,0.3960602283477783,-0.5648285746574402,-0.02993857115507126,-0.12629978358745575,0.2069207727909088,-0.13379238545894623,0.10908196866512299,-0.08788599073886871,1.2784510850906372,0.04268117994070053,0.23791290819644928
-0.8382991552352905,0.040293291211128235,0.12499263137578964,0.3384877145290375,-0.20566901564598083,-0.17518997192382812,0.3678397834300995,-0.7785619497299194,-0.2420227974653244,0.22000163793563843,-0.2015131413936615,0.9148021936416626,0.7683619260787964,0.27687227725982666
0.17730523645877838,0.7786350846290588,-0.07752534002065659,-0.33709716796875,0.2984412908554077,0.25494763255119324,0.12967850267887115,0.32894110679626465,0.4006750285625458,-0.47155553102493286,-0.14365017414093018,-0.19096609950065613,-0.07223310321569443,-0.30552104115486145
-0.3449600636959076,0.7965335249900818,0.16072577238082886,0.34893596172332764,-0.011397911235690117,-0.05380937084555626,-0.2649828791618347,-0.136276513338089,-0.2030094712972641,0.08097956329584122,-0.12486062943935394,-0.5653017163276672,0.038538239896297455,0.026640962809324265
-0.36344337463378906,-0.8980359435081482,-0.08728045225143433,0.29429084062576294,-0.568551778793335,-0.013679848052561283,-0.13446404039859772,-0.004668452776968479,0.9952617287635803,-0.5075299143791199,-0.0950564593076706,0.19571758806705475,0.0899692252278328,0.13925780355930328
-1.4121071100234985,-1.0735044479370117,0.017581764608621597,0.18699058890342712,-0.43517380952835083,0.08596395701169968,0.13940131664276123,-0.3117593228816986,-0.16244778037071228,0.05494679883122444,-0.07578279078006744,0.8079877495765686,-0.5220053791999817,-0.18795835971832275
1.0884575843811035,1.3218867778778076,-0.3201420307159424,-1.479020118713379,0.4038684666156769,-0.006191847380250692,0.3657078742980957,0.2694348692893982,-0.1508910357952118,0.4410182535648346,-0.11687228828668594,-0.4223191440105438,-0.196357861161232,0.0320499986410141
-1.0867969989776611,0.26340100169181824,0.17017370462417603,0.3186888098716736,-0.7683517932891846,-0.029227998107671738,-0.11698891967535019,0.04981531947851181,-0.17696739733219147,0.11063903570175171,0.12479642033576965,1.2560306787490845,0.0034011341631412506,0.17170356214046478
0.33391276001930237,-1.3269368410110474,0.14698728919029236,0.407543420791626,0.6790419220924377,-0.013679848052561283,-0.08492443710565567,0.005853742361068726,0.7462934851646423,0.15841619670391083,-0.0795007199048996,0.3280402421951294,0.014141462743282318,0.03295866772532463
1.681702733039856,1.2340952157974243,-0.09464480727910995,0.27217137813568115,0.20930899679660797,0.2643009126186371,0.06186017021536827,0.16876663267612457,-0.16689592599868774,-0.4335448145866394,0.34427890181541443,-0.1665300875902176,0.4967210292816162,0.13167448341846466
-2.0561563968658447,-0.8631682395935059,0.025856073945760727,0.2773454487323761,-0.3076944649219513,-0.21730437874794006,-0.19391940534114838,-0.7943471074104309,-0.24077101051807404,0.05284591764211655,-0.1659335047006607,-0.4703950881958008,-0.6047145128250122,-0.25061455368995667
1.1114494800567627,1.5233465433120728,0.00947323814034462,-0.32496365904808044,0.3801090717315674,0.12236038595438004,-0.16639521718025208,0.24898236989974976,0.2698526084423065,0.4418012797832489,0.6215846538543701,-0.36678290367126465,-0.21906828880310059,-0.5802476406097412
-1.0451728105545044,-1.1726857423782349,0.00947323814034462,-0.16384483873844147,-0.07338021695613861,-0.004864574410021305,-0.059019528329372406,-0.37433651089668274,0.23310083150863647,0.04705780744552612,-0.31998488306999207,-0.5021518468856812,-0.2328426092863083,-0.6011276245117188
0.5029714107513428,0.8283849358558655,0.15380823612213135,0.4288165867328644,-0.10935194790363312,0.12344660609960556,-0.16856470704078674,0.378048837184906,-0.2511802911758423,0.2776981294155121,0.2608925998210907,-0.26475200057029724,-0.14878632128238678,-0.3056778907775879
-1.090526819229126,-0.8969215750694275,0.06561599671840668,0.2991895079612732,-0.34098759293556213,-0.23016664385795593,-0.17698031663894653,0.3457240164279938,-0.36815327405929565,0.2904810905456543,-0.14195764064788818,-0.5044459700584412,-0.28947728872299194,0.2500021457672119
-1.2997395992279053,-1.0425854921340942,0.005079571157693863,0.18093009293079376,-0.39805853366851807,0.021140914410352707,0.13940131664276123,-0.6665781736373901,-0.046504102647304535,0.033721599727869034,-0.11017383635044098,0.8079877495765686,-0.5017685890197754,-0.18795835971832275
1.1300772428512573,1.3056552410125732,-0.3201420307159424,-1.479020118713379,0.20196577906608582,0.08499307185411453,0.352035254240036,0.2965453863143921,-0.07408346980810165,0.5120332837104797,-0.07878405600786209,-0.37284812331199646,-0.196357861161232,-0.12003292143344879
0.6638332009315491,1.0993876457214355,-0.4470931887626648,-0.7965359687805176,0.48453131318092346,0.020765868946909904,-0.0048699090257287025,-0.1522461622953415,0.0024243025109171867,-0.8269079923629761,0.5833093523979187,0.7181066870689392,0.6479054093360901,-0.4327406585216522
-1.037889838218689,-1.3203259706497192,0.19989843666553497,0.32273706793785095,-0.2908723056316376,0.15011478960514069,0.29444101452827454,-0.22921596467494965,0.0006165886297821999,0.14410248398780823,-0.23305782675743103,1.290500283241272,-0.5087870359420776,-0.5649337768554688
1.3451889753341675,0.2466384619474411,0.17680668830871582,0.43135446310043335,-0.8069945573806763,-0.0882532149553299,-0.12629978358745575,0.23440778255462646,-0.15599875152111053,-0.6145511865615845,-0.11242829263210297,0.26274263858795166,0.02411702647805214,0.12172596156597137
-1.3364204168319702,1.1919207572937012,-0.46143612265586853,0.2723809778690338,-0.8928452730178833,-0.05380937084555626,-0.27240777015686035,0.10526607930660248,-0.2136070877313614,0.13636434078216553,-0.13572226464748383,-0.6890053153038025,0.08841139078140259,0.026640962809324265
0.9033192992210388,0.1289706826210022,-0.04390358179807663,0.28850603103637695,-0.30596989393234253,-0.024292781949043274,0.08513830602169037,0.10931771993637085,-0.2706466019153595,0.41344308853149414,-0.27259406447410583,-0.6419902443885803,-0.3672959506511688,0.39736828207969666
